prior,iteration,log_X,order_mean,order_std,order_q16,order_q50,order_q84,symmetry_mean,symmetry_std,symmetry_q16,symmetry_q50,symmetry_q84,ising_mean,ising_std,ising_q16,ising_q50,ising_q84,n_runs
cppn,35,-0.72,0.022406021808241035,0.015065920858030801,0.0076753416195787325,0.02072216770651211,0.03546867716213392,0.9185546875,0.07546317168321544,0.852859375,0.9392578125,0.983328125,0.9893649193548388,0.007006068532241984,0.9825806451612904,0.9894153225806452,0.9971169354838709,10
cppn,36,-0.74,0.024094409784742126,0.01586983301685607,0.009155513445235092,0.021587671943607216,0.03869881377067577,0.9045703125000001,0.11421594897243763,0.79453125,0.9566406249999999,0.9944375,0.9883568548387096,0.0066590357628792925,0.9835282258064516,0.9861391129032258,0.9956653225806452,10
cppn,37,-0.76,0.02857850586496789,0.016888052837624026,0.012805970048704093,0.026610804831099674,0.04599923445321891,0.8781640625,0.09664238460346795,0.799046875,0.88046875,0.981484375,0.9868951612903226,0.005810354995225336,0.9832459677419355,0.9861391129032258,0.9911693548387096,10
cppn,38,-0.78,0.03076269137785087,0.01727753054550312,0.014834299231687064,0.030864215112805744,0.047045886316975136,0.8491015624999999,0.09362532399914734,0.78153125,0.837109375,0.94953125,0.9865423387096776,0.005761813574862099,0.9819556451612903,0.985383064516129,0.9916733870967742,10
cppn,39,-0.8,0.03536148807553871,0.018779678835924206,0.015615676563405522,0.03510053414719684,0.05566028335275136,0.8164843749999999,0.11350893067838318,0.74040625,0.790234375,0.920203125,0.9850302419354838,0.006113606333274518,0.9797782258064516,0.982358870967742,0.9908266129032258,10
cppn,40,-0.82,0.03646447959681893,0.01888939238918281,0.016934429230628097,0.0365536176545527,0.05702264473059264,0.8323828125,0.11771603179332683,0.782203125,0.813671875,0.9284375,0.9849294354838708,0.006629296396227978,0.979133064516129,0.9846270161290323,0.990383064516129,10
cppn,41,-0.84,0.04062497130973134,0.020375991464796062,0.020480461997551835,0.04157026488059498,0.06085216238302377,0.7773828125,0.1525619931148124,0.654453125,0.79921875,0.895046875,0.9847782258064518,0.00564176004807462,0.9805645161290323,0.983366935483871,0.989375,10
cppn,42,-0.86,0.04325473247336037,0.02170812609220434,0.022344098941590666,0.04233808015270224,0.06854982434900994,0.7919921874999999,0.10911027145666942,0.706453125,0.7890625,0.8784687499999999,0.982459677419355,0.004874049560341067,0.9798387096774194,0.9810987903225806,0.986975806451613,10
cppn,43,-0.88,0.04585620088693204,0.02158360624783206,0.02649898805500536,0.04581873238925573,0.06943558484876255,0.7838671875,0.13961236604355162,0.65490625,0.8173828125,0.8898437499999999,0.9824092741935484,0.005213479507569475,0.9795564516129032,0.9818548387096775,0.9856653225806451,10
cppn,44,-0.9,0.04896086014731437,0.020648869733117275,0.03053301304859059,0.04854264961211671,0.07036330974505267,0.7498437499999999,0.12693986308936145,0.668171875,0.7326171875,0.8709375,0.9827620967741936,0.004175329184679858,0.98,0.9816028225806452,0.9842741935483871,10
